id,short_name,full_name,submission_date,notification_date,conference_date,location,ccf_rank,core_rank,qualis_rank,cp_index,cp_index_rank,cp_index_confidence,is_extended,years,clicked,detail_page
200,ESOP,European Symposium on Programming,2026-10-15,2026-12-22,2027-04-10,"Copenhagen, Denmark",,A,A2,83.67,146,1,False,36,48849,https://www.myhuiban.com/conference/200
768,ETAPS,European Joint Conferences on Theory and Practice of Software,2026-10-15,2026-12-22,2027-04-10,"Copenhagen, Denmark",B,,,60.94,579,0.8,False,0,40543,https://www.myhuiban.com/conference/768
202,FoSSaCS,International Conference on Foundations of Software Science and Computation Structures,2026-10-15,2026-12-22,2027-04-10,"Copenhagen, Denmark",,B,A2,81.36,180,1,False,30,43601,https://www.myhuiban.com/conference/202
203,TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,2026-10-15,2026-12-22,2027-04-10,"Copenhagen, Denmark",,A,A1,87.16,107,1,False,33,52715,https://www.myhuiban.com/conference/203
137,The Web Conference,The ACM Web Conference,2026-10-18,2027-01-04,2027-05-10,"Dublin, Ireland",A,A*,A1,96.8,5,1,False,36,679267,https://www.myhuiban.com/conference/137
5211,TechDebt,International Conference on Technical Debt,2026-10-19,2027-01-11,2027-04-25,"Dublin, Ireland",,B,,57.57,689,0.8,False,10,2760,https://www.myhuiban.com/conference/5211
572,MSR,Working Conference on Mining Software Repositories,2026-10-20,2027-01-08,2027-04-26,"Dublin, Ireland",C,A,B1,80.37,193,1,False,24,43594,https://www.myhuiban.com/conference/572
186,SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,2026-10-21,2026-12-03,2027-04-26,"Dublin, Ireland",,A,B3,67.28,383,0.8,False,22,35889,https://www.myhuiban.com/conference/186
4316,CHASE',International Conference on Cooperative and Human Aspects of Software Engineering,2026-10-23,2026-12-18,2027-04-26,"Dublin, Ireland",,B,,63.14,488,0.8,False,20,10924,https://www.myhuiban.com/conference/4316
479,ISBI,International Symposium on Biomedical Imaging,2026-10-26,2027-01-12,2027-05-25,"Lausanne, Switzerland",,,B1,68.43,358,0.8,False,25,34673,https://www.myhuiban.com/conference/479
5718,AROB,International Symposium on Artificial Life and Robotics,2026-10-28,2026-11-11,2027-01-19,"Beppu, Japan",,C,,55.42,814,0.8,False,32,1186,https://www.myhuiban.com/conference/5718
477,RECOMB,International Conference on Research in Computational Molecular Biology,2026-10-28,2026-12-22,2027-05-17,"Toronto, Ontario, Canada",B,B,A2,87.2,106,1,False,31,57702,https://www.myhuiban.com/conference/477
5208,AST,ACM/IEEE International Conference on Automation of Software Test,2026-10-30,2027-01-08,2027-04-26,"Dublin, Ireland",,C,,51.73,1231,0.8,False,8,3698,https://www.myhuiban.com/conference/5208
5209,CAIN,International Conference on AI Engineering – Software Engineering for AI,2026-10-30,2027-01-11,2027-04-25,"Dublin, Ireland",,B,,56.16,762,0.8,False,6,3843,https://www.myhuiban.com/conference/5209
176,ICSA,IEEE International Conference on Software Architecture,2026-10-30,2026-12-15,2027-03-08,"Sydney, Australia",C,A,B1,78.74,215,1,False,24,72400,https://www.myhuiban.com/conference/176
5628,SAFEPROCESS,"IFAC Symposium on Fault Detection, Supervision and Safety for Technical Processes",2026-10-31,2027-02-28,2027-06-29,"Delft, the Netherlands",,C,,50.8,1396,0.8,False,13,869,https://www.myhuiban.com/conference/5628
996,SIROCCO,International Colloquium on Structural Information and Communication Complexity,2026-10-31,2027-01-30,2027-06-02,"Larnaca, Cyprus",,B,B2,70.26,332,1,False,34,24380,https://www.myhuiban.com/conference/996
1598,EuroGP,European Conference on Genetic Programming,2026-11-01,2027-01-10,2027-07-31,"Mainz, Germany",,B,B1,74.83,264,1,False,30,18071,https://www.myhuiban.com/conference/1598
5202,EvoApplications,International Conference on the Applications of Evolutionary Computation,2026-11-01,2027-01-10,2027-03-31,"Mainz, Germany",,B,,63.29,486,0.8,False,30,4027,https://www.myhuiban.com/conference/5202
1349,EvoCOP,European Conference on Evolutionary Computation in Combinatorial Optimisation,2026-11-01,2027-01-10,2027-03-31,"Mainz, Germany",,B,B2,71.99,300,1,False,27,22851,https://www.myhuiban.com/conference/1349
3416,EvoMUSART,"International Conference on Computational Intelligence in Music, Sound, Art and Design",2026-11-01,2027-01-10,2027-03-31,"Mainz, Germany",,C,,64.25,458,1,False,16,15872,https://www.myhuiban.com/conference/3416
503,ACE,Australasian Computing Education Conference,2026-11-02,2026-12-17,2027-02-01,"Canberra, Australia",,B,B2,63.11,489,0.8,False,29,20107,https://www.myhuiban.com/conference/503
934,ICST,"International Conference on Software Testing, Verification and Validation",2026-11-02,2027-02-20,2027-05-17,"San Sebastian, Spain",C,A,B2,80.91,184,1,False,20,48708,https://www.myhuiban.com/conference/934
1391,ICEIT,International Conference on Educational and Information Technology,2026-11-05,2026-12-05,2027-03-26,"Chongqing, China",,,B5,51.3,1297,0.8,False,16,26374,https://www.myhuiban.com/conference/1391
573,ICPC,International Conference on Program Comprehension,2026-11-05,2027-01-14,2027-04-25,"Dublin, Ireland",B,A,A2,82.07,168,1,False,35,59790,https://www.myhuiban.com/conference/573
1850,REFSQ,Requirements Engineering: Foundation for Software Quality,2026-11-05,2027-01-14,2027-04-12,"Basel, Switzerland",C,B,,65.29,427,0.8,False,33,32116,https://www.myhuiban.com/conference/1850
349,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,2026-11-05,2027-01-28,2027-05-11,"New York City, New York, USA",B,A,A2,87.35,104,1,False,33,50299,https://www.myhuiban.com/conference/349
286,PacificVis,IEEE Pacific Visualization Symposium,2026-11-08,2026-12-15,2027-04-19,"Busan, South Korea",C,B,B3,65.88,415,0.8,False,20,62375,https://www.myhuiban.com/conference/286
5711,IPAS,IEEE International Conference on Image Processing Applications and Systems,2026-11-10,2026-12-15,2027-04-06,"Castellon de la Plana, Spain",,C,,47.57,2140,0.8,False,7,741,https://www.myhuiban.com/conference/5711
289,S&P,IEEE Symposium on Security and Privacy,2026-11-10,2027-03-05,2027-05-18,"Montreal, Canada",A,A*,,98.08,1,1,False,48,353992,https://www.myhuiban.com/conference/289
